run,node_id,num_nodes,num_txn_workers,num_txns,cc_scheme,use_switch,switch_no_conflict,ycsb_opti_test,lm_on_switch,csv_file_cycles,csv_file_periodic,workload,ycsb_table_size,ycsb_write_prob,ycsb_hot_size,ycsb_hot_prob,ycsb_remote_prob,tpcc_num_warehouses,tpcc_num_districts,tpcc_home_w_id,new_order_remote_prob,payment_remote_prob,smallbank_table_size,smallbank_hot_prob,smallbank_remote_prob,smallbank_hot_size,micro_recirc_prob,local_read_lock_failed,local_write_lock_failed,local_lock_success,local_lock_waiting,remote_lock_failed,remote_lock_success,remote_lock_waiting,switch_aborts,tpcc_no_warehouse_read,tpcc_no_district_write,tpcc_no_customer_read,tpcc_no_warehouse_f_get,tpcc_no_district_f_get,tpcc_no_customer_f_get,tpcc_no_stock_acquired,tpcc_no_commits,tpcc_pay_warehouse_write,tpcc_pay_district_write,tpcc_pay_customer_write,tpcc_pay_warehouse_f_get,tpcc_pay_district_f_get,tpcc_pay_customer_f_get,tpcc_pay_commits,micro_recirc_recircs,ycsb_read_commits,ycsb_write_commits,smallbank_amalgamate_commits,smallbank_balance_commits,smallbank_deposit_checking_commits,smallbank_send_payment_commits,smallbank_write_check_commits,smallbank_transact_saving_commits,total_tps,total_cps,total_commits,total_aborts,total_txns,total_on_switch,avg_duration,hot_commit_ratio
0,5,8,20,500000,no_wait,true,true,false,false,../cycles2_1.csv,../periodic2_1.csv,ycsb,10000000,0,50,75,20,0,0,0,0,0,0,0,0,0,0,0,0,15989009,0,0,4002342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743551,743551,10000000,0,10000000,7501929,13448974,74.9743238616912
0,6,8,20,500000,no_wait,true,true,false,false,../cycles2_1.csv,../periodic2_1.csv,ycsb,10000000,0,50,75,20,0,0,0,0,0,0,0,0,0,0,0,0,16005747,0,0,3998095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767922,767922,10000000,0,10000000,7499610,13022139,75.09106495219255
0,7,8,20,500000,no_wait,true,true,false,false,../cycles2_1.csv,../periodic2_1.csv,ycsb,10000000,0,50,75,20,0,0,0,0,0,0,0,0,0,0,0,0,15996486,0,0,4000064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762636,762636,10000000,0,10000000,7499974,13112413,75.08068931355425
0,0,8,20,500000,no_wait,false,true,false,false,../cycles2_2.csv,../periodic2_2.csv,ycsb,10000000,5,50,75,20,0,0,0,0,0,0,0,0,0,0,728595,1135222,54624666,0,490290,14177372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337355,257817,7642308,2357692,10000000,0,29642355,67.08199889348637
0,1,8,20,500000,no_wait,false,true,false,false,../cycles2_2.csv,../periodic2_2.csv,ycsb,10000000,5,50,75,20,0,0,0,0,0,0,0,0,0,0,732688,1133987,54605752,0,492164,14176952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337978,258212,7639902,2360098,10000000,0,29587668,67.29238566054161
0,2,8,20,500000,no_wait,false,true,false,false,../cycles2_2.csv,../periodic2_2.csv,ycsb,10000000,5,50,75,20,0,0,0,0,0,0,0,0,0,0,731382,1133439,54618832,0,492415,14178637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335882,256709,7642841,2357159,10000000,0,29772333,67.22864829050619
0,3,8,20,500000,no_wait,false,true,false,false,../cycles2_2.csv,../periodic2_2.csv,ycsb,10000000,5,50,75,20,0,0,0,0,0,0,0,0,0,0,732375,1135686,54610411,0,495208,14168311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335547,256348,7639686,2360314,10000000,0,29802002,67.33136308616163
0,4,8,20,500000,no_wait,false,true,false,false,../cycles2_2.csv,../periodic2_2.csv,ycsb,10000000,5,50,75,20,0,0,0,0,0,0,0,0,0,0,732812,1135206,54611474,0,493961,14173101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335531,256324,7639351,2360649,10000000,0,29803458,67.26733413386985
0,5,8,20,500000,no_wait,false,true,false,false,../cycles2_2.csv,../periodic2_2.csv,ycsb,10000000,5,50,75,20,0,0,0,0,0,0,0,0,0,0,732799,1134231,54629440,0,495601,14175617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331803,253690,7645787,2354213,10000000,0,30138304,67.39829037855904
0,6,8,20,500000,no_wait,false,true,false,false,../cycles2_2.csv,../periodic2_2.csv,ycsb,10000000,5,50,75,20,0,0,0,0,0,0,0,0,0,0,731646,1135739,54608375,0,490812,14178808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339947,259688,7639081,2360919,10000000,0,29416287,67.09892699281235
